UK	rsquare	a	b
1946Labour	0.998	1.20	0.67
1947	0.998	1.19	0.64
1947Labour	0.998	1.18	0.67
1948Labour	0.997	1.20	0.68
1949Labour	0.998	1.19	0.67
1950Labour	0.998	1.18	0.67
1951Labour	0.998	1.17	0.67
1955Conservative	0.998	1.18	0.65
1956Conservative	0.998	1.19	0.66
1957	0.999	1.19	0.61
1957Conservative	0.998	1.18	0.64
1958Conservative	0.998	1.21	0.65
1960Conservative	0.998	1.20	0.67
1961Conservative	0.998	1.19	0.65
1962Conservative	0.997	1.22	0.67
1963Liberal	0.998	1.20	0.65
1963Conservative	0.997	1.22	0.67
1964Labour	0.996	1.24	0.69
1965Labour	0.997	1.22	0.68
1965Conservative	0.999	1.19	0.65
1966Labour	0.994	1.28	0.69
1966Conservative	0.998	1.19	0.64
1967	0.997	1.20	0.68
1967Labour	0.997	1.25	0.67
1967Conservative	0.998	1.19	0.65
1968Labour	0.997	1.26	0.66
1968Conservative	0.998	1.23	0.66
1969Labour	0.997	1.24	0.65
1969Conservative	0.998	1.18	0.64
1970Labour	0.997	1.25	0.67
1970Conservative	0.997	1.19	0.69
1971Conservative	0.998	1.19	0.64
1971Labour	0.998	1.26	0.66
1972Conservative	0.998	1.18	0.66
1972Labour	0.998	1.22	0.66
1973Conservative	0.998	1.18	0.64
1973Labour	0.997	1.26	0.65
1974Labour	0.996	1.26	0.67
1975Conservative	0.998	1.20	0.64
1975Labour	0.996	1.28	0.68
1976Conservative	0.998	1.21	0.65
1976Labour	0.997	1.22	0.68
1977Conservative	0.998	1.19	0.63
1997Labour	0.998	1.25	0.65
1977Liberala	0.995	1.25	0.69
1977lLiberalb	0.995	1.26	0.70
1978Conservative	0.999	1.20	0.63
1978Labour	0.998	1.18	0.67
1978Liberal	0.997	1.25	0.66
1979Conservative	0.998	1.20	0.64
1979Labour	0.998	1.19	0.66
1979Liberal	0.997	1.24	0.67
1980Conservative	0.998	1.22	0.65
1980Labour	0.998	1.18	0.66
1980Liberal	0.995	1.27	0.68
1981Conservative	0.998	1.20	0.63
1981Labour	0.998	1.17	0.66
1981Liberal	0.997	1.25	0.67
1982SDP-LiberalAllianceb	0.995	1.21	0.70
1982Conservative	0.998	1.21	0.62
1982Labour	0.999	1.15	0.65
1982Liberal	0.996	1.26	0.67
1983Conservative	0.998	1.21	0.63
1983Labour	0.998	1.16	0.65
1983Liberal	0.996	1.25	0.67
1984Conservative	0.998	1.21	0.64
1984Labour	0.997	1.22	0.65
1984Liberal	0.996	1.24	0.68
1985Conservative	0.998	1.24	0.63
1985Labour	0.998	1.21	0.65
1985Liberal	0.996	1.28	0.67
1986Conservative	0.997	1.27	0.62
1986Labour	0.997	1.22	0.66
1986Liberal	0.996	1.27	0.67
1987	0.996	1.30	0.65
1987Conservative	0.997	1.26	0.63
1987Labour	0.998	1.20	0.67
1987SDP-LiberalAlliancea	0.997	1.24	0.66
1987SDP-LiberalAllianceb	0.997	1.27	0.67
1988Conservative	0.997	1.26	0.63
1988Labour	0.996	1.25	0.67
1988Liberal	0.996	1.23	0.68
1989Conservative	0.998	1.23	0.62
1989Labour	0.998	1.19	0.66
1990Labour	0.996	1.24	0.66
1991Conservative	0.999	1.21	0.61
1991Labour	0.996	1.23	0.65
1992Conservative	0.999	1.21	0.61
1992Labour	0.997	1.22	0.66
1992LiberalDemocratl	0.999	1.20	0.63
1993Conservative	0.999	1.20	0.60
1993Labour	0.998	1.23	0.63
1993LiberalDemocrat	0.998	1.22	0.67
1994Conservative	0.998	1.21	0.61
1994Labour	0.998	1.20	0.65
1994LiberalDemocrat	0.998	1.23	0.65
1995Conservative	0.999	1.21	0.61
1995Labour	0.997	1.21	0.63
1996Conservative	0.998	1.18	0.62
1996Labour	0.999	1.16	0.64
1996LiberalDemocrat	0.998	1.22	0.62
1997	0.996	1.19	0.67
1997Conservative	0.998	1.19	0.63
1997Labour	0.998	1.19	0.64
1998Conservative	0.998	1.23	0.63
1998Labour	0.997	1.19	0.63
1998LiberalDemocrat	0.998	1.23	0.63
1999Conservative	0.998	1.23	0.64
1999Labour	0.998	1.20	0.63
1999LiberalDemocrata	0.999	1.19	0.66
1999LiberalDemocratb	0.997	1.24	0.64
2000Conservative	0.999	1.21	0.61
2000Labour	0.997	1.24	0.64
2000LiberalDemocrat	0.998	1.26	0.61
2001Conservative	0.997	1.23	0.63
2001Labour	0.997	1.24	0.64
2001LiberalDemocrat	0.997	1.26	0.65
2002Conservative	0.999	1.21	0.60
2002Labour	0.998	1.22	0.64
2002LiberalDemocrat	0.997	1.28	0.64
2003Conservative	0.999	1.23	0.60
2003Labour	0.998	1.19	0.63
2003LiberalDemocrat	0.998	1.26	0.63
2004Conservative	0.999	1.20	0.61
2004Labour	0.998	1.21	0.62
2004LiberalDemocratl	0.998	1.28	0.62
2005Conservative	0.999	1.17	0.63
2005Labour	0.998	1.21	0.64
2005LiberalDemocrat	0.997	1.24	0.65
2006Conservativea	0.999	1.24	0.64
2006Conservativeb	0.999	1.22	0.63
2006Labour	0.998	1.22	0.64
2006LiberalDemocrat	0.997	1.24	0.65
2007	0.994	1.32	0.70
2007Conservative	0.999	1.17	0.60
2007Labour	0.998	1.19	0.64
2007LiberalDemocrat	0.998	1.25	0.62
2008Conservative	0.999	1.21	0.63
2008Labour	0.998	1.21	0.61
2008LiberalDemocratl	0.998	1.24	0.60
2009Conservative	0.999	1.20	0.60
2009Labour	0.999	1.21	0.60
2009LiberalDemocrat	0.998	1.22	0.62
2010Conservative	0.999	1.22	0.60
2010Labour	0.998	1.18	0.64
2010LiberalDemocratl	0.999	1.22	0.61
2011Conservative	0.999	1.22	0.60
2011Labour	0.999	1.18	0.59
2011LiberalDemocrat	0.999	1.23	0.60
2012Conservative	0.999	1.19	0.58
2012LiberalDemocrat	0.999	1.21	0.62
2013Conservative	0.999	1.20	0.58
2013Labour	0.999	1.15	0.58
2013LiberalDemocrat	0.998	1.22	0.62
2014Conservative	0.999	1.18	0.59
2014Labour	0.999	1.19	0.60
2014LiberalDemocrat	0.999	1.23	0.61
2015Conservative	0.998	1.21	0.59
2015Labour	0.997	1.24	0.62
2015LiberalDemocrat	0.998	1.19	0.63
2016Conservative	0.998	1.23	0.62
2016Labour	0.997	1.28	0.63
2016LiberalDemocrat	0.998	1.21	0.62
2017	0.997	1.25	0.62
2017Conservative	0.998	1.22	0.62
2017Labour	0.997	1.29	0.63
2017LiberalDemocrat	0.996	1.25	0.67
2018Conservative	0.998	1.22	0.62
2018Labour	0.997	1.25	0.65
